word,count,1,2,3,4,5
the,288,32,10,17,53,176
i,226,20,15,9,30,152
and,216,11,6,11,35,153
a,171,10,2,6,28,125
to,130,11,6,8,19,86
it,128,9,7,6,20,86
of,122,7,5,5,19,86
is,112,7,6,8,28,63
this,93,5,1,7,17,63
in,86,8,2,4,10,62
for,84,5,3,4,13,59
br,83,0,0,1,13,69
my,75,6,2,3,11,53
you,64,4,1,7,7,45
with,57,3,0,2,12,40
have,56,2,2,5,6,41
food,55,4,0,4,1,46
s,54,3,2,1,13,35
was,48,6,1,3,5,33
that,47,1,1,2,7,36
but,46,3,1,4,7,31
!,45,3,1,0,5,36
good,41,2,2,3,7,27
so,39,2,3,2,7,25
t,39,1,1,4,4,29
we,38,0,0,3,0,35
not,37,7,3,2,12,13
are,37,1,2,3,6,25
like,36,4,4,3,4,21
as,35,3,0,3,7,22
these,35,0,0,2,6,27
dog,33,0,0,3,0,30
them,33,1,3,1,5,23
they,33,1,2,2,7,21
all,31,3,1,3,5,19
can,31,5,1,1,5,19
on,31,0,0,3,2,26
or,30,1,1,1,6,21
great,29,0,0,1,6,22
oatmeal,29,1,0,0,10,18
at,28,4,2,6,3,13
product,27,2,0,0,2,23
very,26,3,1,3,5,14
if,23,3,1,2,2,15
taste,23,3,2,2,2,14
be,22,3,0,0,6,13
has,22,0,0,3,1,18
sugar,22,4,0,0,10,8
up,22,2,0,1,1,18
when,22,6,0,4,4,8
were,21,4,0,0,1,16
your,21,0,0,3,6,12
just,21,4,0,1,1,15
me,21,4,1,2,4,10
one,21,1,1,0,1,18
instant,21,0,0,0,8,13
too,20,1,1,0,5,13
mccann,20,0,0,0,9,11
really,19,0,0,0,1,18
little,19,3,0,2,0,14
love,18,1,1,0,1,15
use,18,1,0,0,3,14
than,17,1,0,1,1,14
she,17,0,0,0,0,17
other,17,0,0,1,2,14
more,16,1,0,2,0,13
don,16,1,0,1,2,12
will,16,3,0,0,2,11
no,16,2,1,1,2,10
natural,16,0,0,2,1,13
had,15,3,0,1,1,10
ve,15,1,3,0,1,10
time,15,1,1,0,5,8
get,15,0,0,3,1,11
water,15,0,0,0,3,12
better,14,0,0,0,4,10
some,14,2,1,5,2,4
flavors,14,1,0,2,2,9
now,14,2,0,0,1,11
our,14,0,0,0,0,14
been,13,1,1,0,2,9
flavor,13,2,3,2,3,3
well,13,0,0,0,1,12
m,13,0,1,0,3,9
hot,13,0,0,0,1,12
sauce,13,0,0,0,1,12
because,13,0,0,0,1,12
what,13,1,0,1,0,11
make,13,1,0,0,4,8
from,13,0,0,0,2,11
amazon,13,0,0,0,1,12
buy,13,1,1,2,1,8
coffee,13,0,0,0,3,10
balance,13,0,0,2,0,11
price,12,0,0,2,1,9
much,12,1,0,2,2,7
would,12,1,1,0,2,8
candy,12,1,0,0,0,11
variety,12,0,0,0,4,8
got,11,1,1,0,1,8
there,11,0,2,1,2,6
only,11,1,0,0,4,6
brand,11,0,0,1,4,6
eat,11,2,0,0,1,8
also,11,1,0,0,0,10
about,11,1,0,1,0,9
take,11,0,3,1,2,5
store,11,0,0,0,2,9
after,11,1,0,0,2,8
do,11,1,0,1,2,7
brown,11,0,0,0,5,6
regular,11,0,0,0,3,8
find,10,1,0,1,1,7
by,10,1,0,0,1,8
tried,10,1,1,3,1,4
twizzlers,10,0,0,0,1,9
am,10,0,0,1,0,9
pack,10,0,0,0,3,7
free,10,3,0,0,0,7
cinnamon,10,0,0,0,3,7
milk,10,0,0,0,2,8
dogs,10,0,0,2,0,8
bought,9,0,0,0,0,9
found,9,1,1,0,2,5
1,9,0,0,0,0,9
who,9,1,0,1,1,6
he,9,0,0,0,3,6
again,9,1,1,3,1,3
chocolate,9,2,0,0,0,7
could,9,3,0,1,0,5
since,9,0,0,0,1,8
foods,9,0,0,1,0,8
powder,9,0,0,0,0,9
bears,9,0,0,0,0,9
quality,8,0,0,2,0,6
recommend,8,0,0,0,2,6
taffy,8,0,0,0,3,5
two,8,1,0,1,2,4
her,8,0,0,0,0,8
know,8,1,0,0,0,7
never,8,1,0,0,0,7
any,8,1,0,1,0,6
while,8,1,0,2,1,4
loves,8,0,0,0,0,8
ever,8,1,0,0,0,7
re,8,1,0,2,0,5
6,8,2,0,1,1,4
still,8,1,0,0,1,6
tastes,8,0,0,0,1,7
maple,8,0,0,0,5,3
same,8,1,0,1,0,6
day,8,0,0,0,1,7
3,8,0,0,1,0,7
mix,8,0,0,0,0,8
peanuts,7,2,0,0,5,0
