,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text_without_stopwords
0,1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,i bought of the vitality canned dog food products found all to be of good quality the product looks more like a stew than a processed meat it smells better labrador is finicky she appreciates this product better than most
1,2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,product arrived labeled as jumbo salted peanuts ... the peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo
2,3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all",this is a confection that around a few centuries it is a light pillowy citrus gelatin with nuts - in this case filberts it is cut into tiny squares then liberally coated with powdered sugar it is a tiny mouthful of heaven not too chewy very flavorful i highly recommend this yummy treat if you familiar with the story of c.s lewis ' the lion the witch the wardrobe - this is the treat that seduces edmund into selling out his brother sisters to the witch
3,4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,if you looking for the secret ingredient in robitussin i believe i found it i got this in addition to the root beer extract i ordered ( which was good ) made some cherry soda the flavor is very medicinal
4,5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal
5,6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,i got a wild hair for taffy ordered this five pound bag the taffy was all very enjoyable with flavors : watermelon root beer melon peppermint grape only complaint is there was a bit too much red/black licorice-flavored pieces ( just not particular favorites ) between me kids husband this lasted only two weeks ! i would recommend this brand of taffy -- it was a delightful treat
6,7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,this saltwater taffy had great flavors was very soft chewy each was individually wrapped well none of the were stuck together which did happen in the expensive version fralinger 's would highly recommend this ! i served it at a beach-themed party everyone loved it !
7,8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",this taffy is so good it is very soft chewy the flavors amazing i would definitely recommend you buying it very satisfying ! !
8,9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,right now i 'm mostly just sprouting this so cats the grass they love it i rotate it around with wheatgrass rye too
9,10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,this is a very healthy dog food good for their digestion also good for small puppies dog eats her required amount at every feeding
10,11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,i do n't know if it 's the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind ! we picked up a bottle once on a trip we were on brought it back home with were totally blown away ! when we realized that we could n't find it anywhere in our city we were bummed. now because of the magic of the internet we a case of the sauce ecstatic because of it. if you love hot sauce .. i mean really love hot sauce but do n't want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce. thank you for the personal incredible service !
11,12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food",one of boys needed to lose some weight the other did n't i put this food on the floor for the chubby the protein-rich no by-product food up higher where only skinny boy jump the higher food going stale they really for this food chubby boy about an ounce a
12,13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,cats happily eating felidae platinum for more than two years i just got a new bag the shape of the food is different they the new food when i first put it in their bowls now the bowls sit the kitties will not touch the food i 've noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that cats will
13,14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor ! came securely packed ... they were fresh delicious ! i love twizzlers !
14,15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,the strawberry twizzlers guilty pleasure - yummy six pounds will be around for a while with son i
15,16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",daughter loves twizzlers this shipment of six pounds really hit the spot it 's exactly what you would expect ... six packages of strawberry twizzlers
16,17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,i love eating they good for watching tv looking at movies ! it is not too sweet i like to transfer to a zip lock baggie so they stay fresh so i eating
17,18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,i very satisfied with twizzler purchase i shared with others we all enjoyed i will definitely be ordering more
18,19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,twizzlers strawberry childhood favorite made in lancaster pennsylvania by y & s inc. one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in 1845 as young smylie they also apple licorice twists green color blue raspberry licorice twists i like all i keep it in a dry cool because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured 1.200 feet ( 370 m ) weighted 100 pounds ( 45 kg ) was made by y & s inc this record-breaking twist became a guinness world record on july 19 1998 this product is kosher ! thank you
19,20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,was delivered very fast was purchased at a reasonable price i was home bound unable to get to a store so this was perfect for me
20,21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,husband is a twizzlers addict we 've bought times from amazon because we 're government employees living overseas ca n't get in the country we assigned to they 've always fresh tasty packed well arrive in a timely manner
21,22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,i bought for husband is currently overseas he loves apparently his staff likes also. there generous amounts of twizzlers in each 16-ounce bag this was well the price a href= http : //www.amazon.com/gp/product/b001gvisjm twizzlers strawberry 16-ounce bags ( pack of 6 ) /a
22,23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,i remember buying this as a kid the quality n't dropped in all years still a superb product you wo n't be disappointed with
23,24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,i love this after weight watchers i had to cut back but still a craving for it
24,25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,i lived out of the for over 7 yrs now i so miss twizzlers ! ! when i back to visit or someone visits me i always stock up all i say is yum ! sell in mexico you will a faithful buyer more often than i 'm able to buy right now
25,26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,product received is as advertised. a href= http : //www.amazon.com/gp/product/b001gvisjm twizzlers strawberry 16-ounce bags ( pack of 6 ) /a
26,27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor,the is just no flavor just plan chewy i would never buy again
27,28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price,i was so glad amazon carried batteries i a hard finding elsewhere because they such a unique size i need for garage door opener. great deal for the price
28,29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!,i got this for mum is not diabetic but needs to watch her sugar intake father chooses to limit unnecessary sugar intake - she 's the one with the sweet tooth - they loved toffees you would never guess that they 're sugar-free it 's so great that you pretty much guilt free ! i was so impressed that i 've ordered some for ( dark chocolate ) to to the office so i 'll instead of snacking on sugary sweets. just excellent !
29,30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,i do n't know if it 's the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind ! we picked up a bottle once on a trip we were on brought it back home with were totally blown away ! when we realized that we could n't find it anywhere in our city we were bummed. now because of the magic of the internet we a case of the sauce ecstatic because of it. if you love hot sauce .. i mean really love hot sauce but do n't want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce. thank you for the personal incredible service !
30,31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!,i never a huge coffee fan however mother purchased this little machine talked me into trying the latte macciato no coffee a better one i like most of the other products too ( as a usually non-coffee drinker ! ) the little dolche guesto machine is super easy to use prepares a really good coffee/latte/cappuccino/etc in less than a minute ( if water is heated up ) i would recommend the dolce gusto to anyone too good for the price i'am getting one ! : )
31,32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...,this offer is a great price a great taste thanks amazon for selling this product. staral
32,33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals,mccann 's instant oatmeal is great if you your oatmeal but only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation still the mccann 's is as good as it gets for instant oatmeal it 's even better than the organic all-natural brands i all the varieties in the mccann 's variety pack taste good it be prepared in the microwave or by adding boiling water so it is convenient in the extreme when is an issue. mccann 's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product real sugar tastes better is not as harmful as the other stuff one thing i do not like though is mccann 's use of thickeners oats plus water plus heat should a creamy tasty oatmeal without the need for guar gum but this is a convenience product maybe the guar gum is why after sitting in the bowl a while the instant mccann 's becomes too thick gluey
33,34,B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,1166313600,Good Instant,this is a good instant oatmeal from the best oatmeal brand it uses cane sugar instead of high fructouse corn syrup so not only does it a better sweetness but some doctors now say that this form of sugar is better for you great on a cold morning when you do n't to mccann 's steel cut oats the apple cinnamon is the best but the maple brown sugar or the regular good too plus they do n't require doctoring to actually tell the three flavors apart
